temperature,eDensity,gofnt
3780515.4774710797,5040816326.530613,2.2792625643402526e-32
3962407.92581251,5040816326.530613,1.03048997334371e-32
4153051.789922715,5040816326.530613,4.703803615170385e-33
4352868.127842631,5040816326.530613,2.16574613327154e-33
4562298.256035178,5040816326.530613,1.0047225454397058e-33
4781804.724081485,5040816326.530613,4.6910926805247106e-34
5011872.336272725,5040816326.530613,2.2018084451555006e-34
501187.2336272725,7061224489.795918,2.1335999386731105e-27
525300.922235397,7061224489.795918,3.4569927734423846e-27
550574.7959784886,7061224489.795918,5.419214706144132e-27
577064.6749995912,7061224489.795918,8.230751571174326e-27
604829.0651237764,7061224489.795918,1.2125579035669306e-26
633929.2870747296,7061224489.795918,1.7342661452576442e-26
664429.61190834,7061224489.795918,2.4098928444480976e-26
696397.4029624328,7061224489.795918,3.2543827591438494e-26
729903.2646361388,7061224489.795918,4.2715985163980966e-26
765021.19832752,7061224489.795918,5.447333668666499e-26
801828.7658738301,7061224489.795918,6.743821891108025e-26
840407.2608554034,7061224489.795918,8.096540589989573e-26
880841.8881415128,7061224489.795918,9.411580147143318e-26
923221.9520747317,7061224489.795918,1.0574376159533554e-25
967641.0537094537,7061224489.795918,1.146313120287521e-25
1014197.2975401576,7061224489.795918,1.1967914231097773e-25
1062993.5081760285,7061224489.795918,1.2014373661831284e-25
1114137.4574404613,7061224489.795918,1.1582638348058204e-25
1167742.1023970542,7061224489.795918,1.0711264877275069e-25
1223925.834827758,7061224489.795918,9.49544598864857e-26
1282812.7427142137,7061224489.795918,8.065372067258165e-26
1344532.8842997623,7061224489.795918,6.55950167157687e-26
1409222.5753374626,7061224489.795918,5.1031814165634706e-26
1477024.690158485,7061224489.795918,3.793895712908686e-26
1548088.9772258627,7061224489.795918,2.6917257576618217e-26
1622572.3898705235,7061224489.795918,1.8198874003916516e-26
1700639.4329400521,7061224489.795918,1.1694388236215287e-26
1782462.5261258448,7061224489.795918,7.114831531455457e-27
1868222.3847710367,7061224489.795918,4.084749774953166e-27
1958108.4190003115,7061224489.795918,2.2100132101297647e-27
2052319.1520530963,7061224489.795918,1.126187274004219e-27
2151062.6587440567,7061224489.795918,5.432056532717676e-28
2254557.0250193435,7061224489.795918,2.5029408973569096e-28
2363030.8296234924,7061224489.795918,1.1125733296563437e-28
2476723.6489408244,7061224489.795918,4.8241079087035815e-29
2595886.586126396,7061224489.795918,2.0629641290614221e-29
2720782.8256950434,7061224489.795918,8.76963000243905e-30
2851688.2147934726,7061224489.795918,3.728334410777095e-30
2988891.8724391717,7061224489.795918,1.5928729698326666e-30
3132696.828071686,7061224489.795918,6.855516229020087e-31
3283420.6908266563,7061224489.795918,2.978251792810253e-31
3441396.3510106686,7061224489.795918,1.3070242975176857e-31
3606972.7153262887,7061224489.795918,5.795696721526287e-32
3780515.4774710797,7061224489.795918,2.596724168529476e-32
3962407.92581251,7061224489.795918,1.1751569606950502e-32
4153051.789922715,7061224489.795918,5.369297935499824e-33
4352868.127842631,7061224489.795918,2.4745020282774956e-33
4562298.256035178,7061224489.795918,1.1490376495686627e-33
4781804.724081485,7061224489.795918,5.3698981075245855e-34
5011872.336272725,7061224489.795918,2.5227356177080244e-34
501187.2336272725,9081632653.061226,2.2375782577956664e-27
525300.922235397,9081632653.061226,3.628888561029691e-27
550574.7959784886,9081632653.061226,5.694038103698959e-27
577064.6749995912,9081632653.061226,8.656276467968178e-27
604829.0651237764,9081632653.061226,1.2764398222849672e-26
633929.2870747296,9081632653.061226,1.8273356950512028e-26
664429.61190834,9081632653.061226,2.5415781066800536e-26
696397.4029624328,9081632653.061226,3.435388221963493e-26
729903.2646361388,9081632653.061226,4.5133326846541716e-26
765021.19832752,9081632653.061226,5.76088021240355e-26
801828.7658738301,9081632653.061226,7.138502051023999e-26
840407.2608554034,9081632653.061226,8.578172674286796e-26
